NAME,Id,FPL,layer,theta,x_pos,y_pos,z_pos,toff,tcal,qped,qcal,adc_geo,adc_ch,tdc_geo,tdc_ch
NaI159,159,8,12,33.78,12.27,19.05,33.87,1027.3,0.0977,-411.646,3.36693,14,31,8,47
NaI160,160,8,12,33.58,19.22,12.15,34.25,1027.7,0.0977,-384.339,3.29374,15,0,8,48
NaI161,161,8,12,32.83,21.88,4.37,34.58,1039.5,0.0977,-365.065,3.23245,15,1,8,49
NaI162,162,8,12,32.76,21.85,-4.38,34.63,1038.7,0.0977,-315.338,3.30715,15,2,8,50
NaI163,163,8,12,33.67,19.09,-12.26,34.06,1026.6,0.0977,-355.384,3.3272,15,3,8,51
NaI164,164,8,12,33.8,12.31,-19.11,33.95,1025.5,0.0977,-335.569,3.42028,15,4,8,52
NaI165,165,8,12,32.85,4.36,-21.94,34.65,1041.6,0.0977,-414.904,3.1787,15,28,8,76
NaI166,166,8,12,26.4,-4.54,-16.57,34.6,1043.6,0.0977,-295.069,3.11948,15,6,8,54
NaI167,167,8,12,26.66,-12.08,-12.11,34.08,1420.5,0.0977,-295.069,3.11948,15,7,8,55
NaI168,168,8,12,26.34,-16.52,-4.39,34.53,1040.9,0.0977,-263.209,3.15897,15,8,8,56
NaI169,169,8,12,26.46,-16.63,4.36,34.53,1042.7,0.0977,-341.706,3.12612,15,9,8,57
NaI170,170,8,12,26.76,-12.22,12.14,34.15,1024.8,0.0977,-369.996,3.25153,15,10,8,58
NaI171,171,8,12,26.47,-4.42,16.67,34.63,1039.7,0.0977,-377.52,3.32898,15,11,8,59
NaI172,172,8,12,26.47,4.4,16.63,34.54,1038.8,0.0977,-349.684,3.24801,15,12,8,60
NaI173,173,8,12,26.78,12.17,12.14,34.06,1020.7,0.0977,-438.322,3.47547,15,13,8,61
NaI174,174,8,12,26.48,16.62,4.34,34.48,1041.8,0.0977,-364.222,3.42722,15,14,8,62
NaI175,175,8,12,26.52,16.6,-4.35,34.39,1042.8,0.0977,-381.258,3.11819,15,15,8,63
NaI176,176,8,12,26.85,12.22,-12.12,34,1019.1,0.0977,-467.674,3.51495,15,16,8,64
NaI177,177,8,12,26.41,4.45,-16.54,34.49,1036.8,0.0977,-354.082,3.23457,15,17,8,65
NaI178,178,8,12,18.81,-4.4,-11.19,35.31,1040.8,0.0977,-369.014,3.14542,15,18,8,66
NaI179,179,8,12,18.82,-11.23,-4.34,35.3,1041.5,0.0977,-448.336,3.08596,15,19,8,67
NaI180,180,8,12,19.04,-11.22,4.5,35.03,1039.2,0.0977,-378.732,3.36455,15,20,8,68
NaI181,181,8,12,18.84,-4.43,11.16,35.19,1043.1,0.0977,-366.531,3.06099,15,21,8,69
NaI182,182,8,12,18.84,4.45,11.15,35.19,1043.6,0.0977,-337.28,3.02572,15,22,8,70
NaI183,183,8,12,18.97,11.23,4.49,35.19,1038.7,0.0977,-445.201,3.3987,15,23,8,71
NaI184,184,8,12,18.86,11.19,-4.46,35.26,1039,0.0977,-454.987,3.41022,15,24,8,72
NaI185,185,8,12,18.96,4.45,-11.2,35.09,1040.5,0.0977,-329.721,3.12674,15,25,8,73
NaI186,186,8,13,18.46,-999,-999,-999,995.5,0.0977,-783.202,-10,15,30,6,127
NaI187,187,8,8,18.46,-999,-999,-999,995.5,0.0977,-783.202,-10,15,31,8,127
