NAME,Id,FPL,layer,theta,x_pos,y_pos,z_pos,toff,tcal,qped,qcal,adc_geo,adc_ch,tdc_geo,tdc_ch
NaI78,78,8,8,74.05,10.04,-32,9.59,1440.5,0.0977,-269.893,3.2476,12,14,6,78
NaI79,79,8,8,74.02,-4.88,-33.24,9.62,1444.5,0.0977,-302.499,3.20694,12,15,6,79
NaI80,80,8,9,64.8,-11.76,-29.61,14.99,1440.6,0.0977,-314.582,3.23805,12,16,6,80
NaI81,81,8,9,64.99,-23.51,-21.57,14.88,1439.8,0.0977,-361.258,3.2053,12,17,6,81
NaI82,82,8,9,64.89,-30.56,-9.25,14.96,1441.1,0.0977,-340.573,3.26558,12,18,6,82
NaI83,83,8,9,64.84,-31.39,4.95,14.93,1439.3,0.0977,-344.692,3.19752,12,19,6,83
NaI84,84,8,9,64.73,-25.92,18.22,14.96,1442,0.0977,-367.077,3.13206,12,20,6,84
NaI85,85,8,9,64.9,-15.89,27.73,14.97,1439.7,0.0977,-362.583,3.18725,12,21,6,85
NaI86,86,8,9,65.01,-2.18,31.88,14.89,1437.7,0.0977,-301.024,3.16918,12,22,6,86
NaI87,87,8,9,64.76,11.91,29.55,15.02,1442.3,0.0977,-305.708,3.23826,12,23,6,87
NaI88,88,8,9,64.95,23.45,21.42,14.85,1441.7,0.0977,-385.202,3.1879,12,24,6,88
NaI89,89,8,9,64.87,30.51,9.07,14.93,1441.8,0.0977,-270.152,3.08326,12,25,6,89
NaI90,90,8,9,64.9,31.38,-5.09,14.89,1440.7,0.0977,-340.093,3.22163,12,26,6,90
NaI91,91,8,9,64.78,26.13,-18.11,14.98,1442.6,0.0977,-416.963,3.13235,12,27,6,91
NaI92,92,8,9,64.8,15.73,-27.7,14.99,1440.2,0.0977,-253.36,3.10945,12,28,6,92
NaI93,93,8,9,64.75,1.89,-31.68,14.96,1444.2,0.0977,-346.764,3.29842,12,29,6,93
NaI94,94,8,10,55.56,-16.78,-24.49,20.35,1443.9,0.0977,-398.624,3.31577,12,30,6,94
NaI95,95,8,10,55.46,-25.74,-14.71,20.41,1442.2,0.0977,-360.492,3.23962,12,31,6,95
NaI96,96,8,10,55.55,-29.63,-2.2,20.38,1439.9,0.0977,-429.132,3.30293,13,0,6,96
NaI97,97,8,10,55.44,-27.53,10.95,20.41,1439.7,0.0977,-312.169,3.24247,13,1,6,97
NaI98,98,8,10,55.42,-20.25,21.68,20.45,1439.2,0.0977,-311.253,3.31732,13,2,6,98
NaI99,99,8,10,55.43,-8.62,28.3,20.39,1440.5,0.0977,-376.23,3.33717,13,3,6,99
NaI100,100,8,10,55.56,4.49,29.36,20.36,1439.3,0.0977,-389.892,3.21406,13,4,6,100
NaI101,101,8,10,55.62,16.82,24.55,20.36,1441.7,0.0977,-322.749,3.28501,13,5,6,101
NaI102,102,8,10,55.34,25.65,14.56,20.39,1441.2,0.0977,-360.95,3.19183,13,6,6,102
NaI103,103,8,10,55.64,29.68,2.09,20.34,1440.2,0.0977,-276.142,3.24877,13,7,6,103
NaI104,104,8,10,55.66,27.76,-10.95,20.39,1440.6,0.0977,-332.561,3.15332,13,8,6,104
NaI105,105,8,10,55.51,20.11,-21.81,20.38,1439.2,0.0977,-263.305,3.13917,13,9,6,105
NaI106,106,8,10,55.36,8.51,-28.3,20.42,1444.5,0.0977,-340.012,3.2147,13,10,6,106
NaI107,107,8,10,55.55,-4.51,-29.43,20.43,1440.9,0.0977,-232.64,3.13133,13,11,6,107
NaI108,108,8,11,47.53,-10.63,-26.2,25.89,1440.1,0.0977,-426.388,3.15026,13,12,6,108
NaI109,109,8,11,47.53,-21.01,-18.84,25.84,1443.1,0.0977,-376.574,3.24824,13,13,6,109
NaI110,110,8,11,47.61,-27.12,-8.09,25.83,1444.1,0.0977,-308.258,3.20613,13,14,6,110
NaI111,111,8,11,47.62,-27.98,4.43,25.85,1442.9,0.0977,-259.073,3.23789,13,15,6,111
NaI112,112,8,11,47.51,-23.16,16.28,25.93,1442.9,0.0977,-296.487,3.16158,13,16,8,0
NaI113,113,8,11,47.5,-13.78,24.6,25.84,1439.2,0.0977,-285.707,3.19928,13,17,8,1
NaI114,114,8,11,47.61,-1.62,28.31,25.88,1441.6,0.0977,-384.584,3.17368,13,18,8,2
NaI115,115,8,11,47.5,10.75,26.07,25.84,1442.2,0.0977,-336.896,3.14144,13,19,8,3
NaI116,116,8,11,47.51,21,18.81,25.83,1441.4,0.0977,-232.112,2.98772,13,20,8,4
NaI117,117,8,11,47.55,27.11,7.91,25.83,1441.4,0.0977,-268.703,3.13189,13,21,8,5
